City,Location,Area,Bedrooms,Bathrooms,Generator,Furnished,Internet,Gym,Balcony,Parking,En-suite,Lift,Price
Westlands,Westlands Area,,1,1,1,0,0,1,1,1,0,0,95000
Nairobi,Kileleshwa,Building Area 232 m²,3,3,0,0,1,0,1,1,1,0,90000
Nairobi,Kilimani,Building Area 180 m²,3,4,1,0,1,1,1,1,1,0,120000
Nairobi,Lavington,,2,2,1,1,1,1,1,1,1,0,170000
Nairobi,Lavington,,3,4,1,0,1,1,1,1,1,0,85000
Westlands,Riverside,,3,3,0,0,0,0,1,1,1,0,300000
Nairobi,Kilimani,Building Area 230 m²,3,4,1,1,1,1,1,1,1,0,200000
Westlands,Spring Valley,,3,3,1,0,1,1,1,1,1,0,350000
Westlands,Parklands,,3,3,1,0,1,1,1,1,1,0,230000
Ruiru,Tatu City,Building Area 78 m²,2,2,0,0,0,0,0,0,0,0,52500
Nairobi,Kileleshwa,,2,2,1,0,1,0,1,1,1,0,75000
Westlands,Parklands,,4,3,0,0,0,0,1,1,1,0,90000
Nairobi,Nairobi CBD,,1,1,1,0,1,1,1,1,1,0,45000
Westlands,Westlands Area,,2,3,1,1,1,1,1,1,1,0,195000
Westlands,Thigiri,,2,2,1,1,1,0,1,1,1,0,300000
Nairobi,Kasarani,,2,,,,,,,,,,20000
Kiambu County,Ruaka,,1,2,0,0,1,0,1,1,0,0,28000
Nairobi,Kilimani,,3,3,1,1,1,1,1,1,1,0,364000
Roysambu,Garden Estate,,3,3,1,0,1,0,1,1,1,0,80000
Westlands,Riverside,,2,,0,0,0,0,0,0,0,0,200000
Nairobi,Kilimani,,3,2,0,0,1,1,1,1,1,0,95000
Westlands,Parklands,,2,2,1,1,1,1,0,1,1,0,220000
Westlands,Kitisuru,,3,3,0,0,1,1,1,1,1,0,320000
Westlands,Riverside,,4,4,1,0,1,0,1,0,1,0,170000
Westlands,Kitisuru,,2,2,1,1,1,1,0,1,1,0,248115
Westlands,Westlands Area,,2,2,1,1,1,1,1,1,1,0,140000
Westlands,Westlands Area,,1,1,1,1,0,0,0,0,1,0,233000
Nairobi,Lavington,,2,1,1,0,0,1,0,0,0,0,150000
Westlands,Westlands Area,,3,3,1,0,0,1,1,0,1,0,155000
Nairobi,Kileleshwa,,1,1,1,1,1,0,0,1,0,0,80000
Westlands,Parklands,,2,2,0,0,1,1,1,1,1,0,160000
Westlands,Riverside,,4,4,1,0,1,0,1,1,1,0,200000
Nyali,Nyali Area,Building Area 2550 ft²,3,4,1,0,1,1,1,1,1,0,100000
Nairobi,Lavington,Building Area 107 m²,2,3,1,1,1,1,1,1,1,0,180000
Nairobi,Kilimani,,3,3,1,0,0,1,0,1,1,0,75000
Westlands,Lower Kabete,,3,4,0,0,0,1,1,1,0,0,350000
Nairobi,Kileleshwa,Building Area 198 m²,3,4,1,0,1,0,1,1,1,0,120000
Westlands,Karura,,3,4,1,0,1,1,1,1,1,0,310000
Westlands,Westlands Area,,3,3,1,0,1,1,1,1,1,0,330000
Westlands,Westlands Area,,2,2,0,1,0,0,1,1,0,0,250000
Westlands,Riverside,,3,3,0,0,0,0,0,0,1,0,180000
Westlands,Westlands Area,Building Area 300 m²,3,3,1,1,1,1,1,1,1,0,320000
Westlands,Spring Valley,,3,3,1,1,1,1,1,1,1,0,360000
Nyali,Nyali Area,Building Area 2860 ft²,3,4,1,0,0,1,1,1,1,0,100000
Nairobi,Kilimani,Land Area 1 ac,1,2,1,1,1,1,1,1,1,0,160000
Nyali,Nyali Area,Building Area 2960 ft²,3,4,1,1,1,0,0,0,1,0,185000
Westlands,Gigiri,,2,,1,0,0,0,0,0,0,0,320000
Nairobi,South B,,1,1,0,0,1,0,1,1,0,0,26000
Nyali,Nyali Area,,3,3,0,0,1,0,1,1,1,0,120000
Nyali,Nyali Area,,3,5,0,0,1,1,1,1,1,0,110000
Nairobi,Kilimani,,3,4,1,0,1,0,1,1,1,0,140000
Nairobi,Kilimani,Building Area 130 m²,3,3,1,0,1,1,1,1,1,0,150000
Nairobi,Imara Daima,Building Area 134 m²,3,4,1,0,1,1,1,1,0,0,50000
Nairobi,Lavington,Building Area 140 m²,2,3,1,0,1,0,1,1,1,0,75000
Westlands,Westlands Area,,2,2,1,1,1,1,1,1,1,0,not
Nyali,Nyali Area,,2,3,1,1,1,1,1,1,1,0,140000
Westlands,Riverside,,2,2,1,1,1,0,1,1,1,0,140000
Nairobi,Kilimani,,3,4,1,0,1,1,1,1,1,0,150000
Nairobi,Lavington,Building Area 250 m²,4,5,1,0,1,1,1,1,1,0,110000
Nyali,Mkomani,Building Area 250 m²,4,4,1,0,1,1,0,1,1,0,150000
Nairobi,Kilimani,,2,2,0,0,0,1,1,0,0,0,120000
Nairobi,Lavington,,3,3,1,0,0,0,1,1,1,0,115000
Westlands,Parklands,,1,,0,0,0,0,0,0,0,0,350000
Westlands,Riverside,Building Area 90 m²,1,1,1,1,1,1,1,1,1,0,150000
Kilifi County,Mtwapa,Building Area 200 m²,1,1,0,1,1,0,1,1,1,0,5000
Nairobi,Kileleshwa,,2,2,0,1,1,1,1,1,1,0,120000
Westlands,Westlands Area,,4,4,0,0,1,1,1,1,1,0,400000
Nairobi,Kileleshwa,,3,3,1,0,1,1,1,1,1,0,200000
Westlands,Westlands Area,,2,2,1,0,1,1,1,1,1,0,not
Nyali,Nyali Area,,2,2,0,0,1,0,1,1,1,0,45000
Nairobi,Kileleshwa,,3,3,1,1,1,1,0,1,1,0,200000
Nairobi,Lavington,,3,3,1,0,1,1,1,1,1,0,280000
Roysambu,Kahawa,,4,2,1,0,1,0,1,1,1,0,56500
Westlands,Westlands Area,Building Area 97 m²,1,1,1,1,1,1,1,1,1,0,160000
Nairobi,Lavington,,2,2,0,0,0,0,1,1,0,0,75000
Westlands,General Mathenge,Building Area 3200 ft²,4,4,1,0,1,1,1,1,1,0,165000
Westlands,Brookside,Building Area 170 m²,3,4,0,0,1,0,0,1,1,0,95000
Nyali,Nyali Area,Building Area 2500 m²,4,4,0,0,1,0,1,1,1,0,75000
Nairobi,Valley Arcade,,3,3,1,0,1,0,1,1,1,0,200000
Nairobi,Kiambu Road,,3,,1,0,0,1,1,0,0,0,50000
Westlands,Westlands Area,,2,3,1,0,1,1,1,1,1,0,110000
Nairobi,Kilimani,,1,1,0,0,0,0,1,0,0,0,80000
Westlands,Riverside,Building Area 154 ft²,3,4,1,1,1,1,1,1,1,0,280000
Westlands,Riverside,Building Area 100 m²,1,1,1,1,1,1,1,1,1,0,140000
Westlands,Westlands Area,,2,2,1,1,1,0,1,1,1,0,140000
Westlands,Westlands Area,,2,,0,0,1,1,0,1,0,0,150000
Nairobi,Kilimani,,3,3,1,1,1,1,1,1,1,0,250000
Nairobi,Naivasha Road,,3,2,1,0,1,1,1,1,1,0,50000
Westlands,Riverside,Building Area 170 m²,3,4,1,1,1,1,1,1,1,0,300000
Westlands,Rhapta Road,Building Area 230 m²,3,3,1,0,1,0,1,1,1,0,120000
Nairobi,Lavington,,3,,,,,,,,,,75000
Westlands,Westlands Area,,4,4,1,1,1,1,1,1,1,0,480000
Nairobi,Lavington,,4,3,1,0,1,1,1,1,0,0,160000
Westlands,Spring Valley,,3,3,1,0,1,1,1,1,1,0,300000
Nyali,Nyali Area,Building Area 2000 m²,2,3,1,0,1,0,1,1,1,0,65000
Nairobi,Utawala,,2,2,0,0,1,0,1,1,1,0,26000
Nyali,Mkomani,Building Area 1700 m²,2,1,1,1,1,0,0,1,0,0,50000
Westlands,Karura,,2,2,1,0,1,1,1,1,1,0,150000
Nairobi,Kileleshwa,,3,2,1,0,0,1,0,0,0,0,85000
Nairobi,Kileleshwa,,2,3,1,0,1,1,1,1,1,0,80000
Kilifi County,Mtwapa,,2,,0,0,0,0,1,1,0,0,35000
Westlands,Spring Valley,,3,3,0,0,0,0,0,0,1,0,365000
Westlands,Westlands Area,,2,,0,0,0,1,0,0,0,0,174000
Nairobi,Kilimani,,4,4,0,0,0,0,0,0,1,0,110000
Westlands,Westlands Area,,4,4,1,0,0,1,1,1,1,0,150000
Nairobi,Kilimani,,3,3,0,1,0,1,1,1,0,0,200000
Kiambu County,Kiambu Town,,1,1,,,,,,,,,12000
Westlands,General Mathenge,,2,2,1,0,0,0,1,0,1,0,180000
Nairobi,Kileleshwa,,3,3,1,0,0,1,1,1,1,0,90000
Nairobi,Kilimani,Building Area 200 m²,2,3,1,1,1,1,1,1,1,0,220000
Nairobi,Kileleshwa,,3,3,0,0,0,0,1,1,1,0,95000
Nairobi,Lavington,,3,2,0,0,0,1,1,1,1,0,75000
Westlands,Parklands,,4,4,1,0,1,1,1,1,1,0,160000
Westlands,Rhapta Road,,2,3,1,1,1,1,1,1,1,0,200000
Nairobi,Kilimani,,1,2,1,0,1,1,1,1,1,0,60000
Nairobi,Kilimani,,3,3,0,0,0,0,1,1,0,0,95000
Nairobi,Kileleshwa,Building Area 120 m²,3,3,1,0,1,1,1,1,1,0,85000
Nairobi,Kilimani,Building Area 140 m²,2,2,1,0,1,1,1,1,1,0,95000
Westlands,Riverside,,2,1,0,0,0,1,0,0,0,0,170000
Westlands,Brookside,,3,3,1,0,1,1,1,1,1,0,260000
Westlands,Brookside,Building Area 1800 ft²,2,2,1,0,1,1,1,1,1,0,140000
Mombasa,Bamburi,Building Area 140 ft²,1,1,0,0,1,0,1,1,1,0,18000
Nairobi,Lavington,,3,2,0,0,1,0,1,1,1,0,90000
Westlands,Westlands Area,Building Area 150 m²,2,3,1,1,1,1,1,1,1,0,200000
Nairobi,Kileleshwa,,3,3,1,0,1,0,1,1,1,0,200000
Mombasa Island,Mombasa CBD,,3,4,1,1,1,1,1,0,1,0,20000
Westlands,Riverside,,0,1,1,1,0,0,0,1,0,0,22000
Westlands,Riverside,,3,3,0,0,0,0,0,0,0,0,235000
Nyali,Nyali Area,,2,2,1,1,1,0,1,1,1,0,90000
Westlands,Westlands Area,Building Area 57 m²,0,1,1,1,1,1,1,1,1,0,150000
Kiambu County,Ruaka,,3,3,0,0,1,0,1,1,1,0,40000
Westlands,General Mathenge,,3,4,0,0,1,0,1,1,1,0,120000
Westlands,Rhapta Road,,1,1,1,1,1,1,0,1,0,0,170000
Westlands,Riverside,,3,3,1,1,1,1,1,1,1,0,290000
Nairobi,Lavington,,4,3,0,0,1,0,0,1,1,0,75000
Westlands,Westlands Area,,3,3,1,0,0,1,0,0,1,0,165000
Westlands,Rosslyn,,4,4,0,0,1,1,1,1,1,0,300000
Nyali,Nyali Area,,3,4,1,1,1,1,1,1,1,0,300000
Westlands,Rhapta Road,,2,2,1,0,1,0,1,1,1,0,70000
Nairobi,Lavington,Building Area 400 m²,8,9,1,0,1,1,1,1,1,0,160000
Westlands,Brookside,,3,3,1,0,0,1,1,1,1,0,140000
Nairobi,Kilimani,,3,4,1,0,1,0,1,1,1,0,130000
Nairobi,Kileleshwa,,3,4,1,0,1,1,1,1,1,0,210000
Westlands,Westlands Area,,1,1,,,,,,,,,100000
Roysambu,Garden Estate,,2,2,1,0,1,1,1,1,1,0,70000
Westlands,Westlands Area,,1,1,1,1,1,1,0,1,1,0,160000
Nairobi,Lavington,,3,3,1,0,1,1,1,1,1,0,170000
Westlands,Westlands Area,,2,2,1,1,1,1,1,1,1,0,100000
Westlands,Westlands Area,,2,3,1,0,1,1,1,1,1,0,95000
Nyali,Nyali Area,,3,3,1,0,1,0,1,1,1,0,75000
Nairobi,Kileleshwa,,4,4,1,0,1,0,1,1,1,0,140000
Nairobi,Kileleshwa,,3,3,1,0,0,0,1,1,1,0,110000
Westlands,Spring Valley,,3,3,1,0,0,0,1,1,0,0,300000
Nairobi,Kileleshwa,,4,4,1,0,0,1,1,1,1,0,140000
Nairobi,Naivasha Road,,2,2,1,0,1,0,0,0,1,0,45000
Westlands,Westlands Area,Building Area 80 m²,2,2,1,1,1,1,1,1,1,0,12000
Westlands,Brookside,,2,3,1,1,1,1,1,1,1,0,230000
Westlands,Westlands Area,Building Area 103 m²,2,3,1,1,1,1,1,1,1,0,280000
Nairobi,Ruaraka,,4,4,1,0,1,0,1,1,1,0,80000
Westlands,Riverside,,3,3,0,0,0,0,1,1,1,0,110000
Nairobi,Kileleshwa,Building Area 4000 ft²,4,5,1,1,1,0,0,1,1,0,380000
Nyali,Nyali Area,Building Area 300 m²,4,,1,1,1,0,1,1,1,0,250000
Westlands,Parklands,,3,3,1,0,1,1,1,1,1,0,180000
Westlands,Riverside,Building Area 245 m²,3,4,1,0,0,1,1,1,1,0,200000
Nairobi,Kilimani,,1,1,0,0,0,0,0,0,0,0,80000
Nairobi,Kilimani,Building Area 140 m²,3,3,1,0,1,1,1,1,1,0,80000
Westlands,Parklands,,3,3,0,0,0,0,0,1,0,0,325000
Westlands,Rhapta Road,,3,3,1,0,1,1,1,0,1,0,90000
Westlands,Riverside,Building Area 200 m²,3,4,1,0,0,0,1,1,1,0,120000
Westlands,General Mathenge,Building Area 120 m²,3,3,1,0,1,1,1,1,1,0,150000
Nairobi,Kilimani,Building Area 179 m²,2,3,1,1,1,1,1,1,1,0,160000
Westlands,Riverside,,3,3,1,0,0,0,1,1,1,0,130000
Westlands,Parklands,,2,2,1,1,1,1,1,1,1,0,250000
Westlands,Kitisuru,,2,2,0,0,1,1,1,1,1,0,240000
Westlands,General Mathenge,Building Area 210 m²,3,3,1,1,1,1,1,1,1,0,280000
Nyali,Nyali Area,Building Area 3420 ft²,4,5,1,0,1,1,1,1,1,0,230000
Nairobi,Kileleshwa,,3,4,1,0,0,1,1,1,1,0,120000
Westlands,General Mathenge,,4,4,0,0,0,0,1,1,1,0,170000
Westlands,Rhapta Road,,3,3,1,0,1,1,1,1,1,0,120000
Nyali,Nyali Area,Building Area 2480 ft²,3,4,1,0,1,0,1,1,1,0,110000
Westlands,Parklands,,3,4,1,0,1,1,1,1,1,0,120000
Nairobi,Kilimani,,1,2,1,1,1,1,1,1,1,0,7000
Westlands,Gigiri,,3,4,0,0,1,0,1,1,1,0,150000
Nairobi,Kileleshwa,,4,5,1,0,1,1,1,1,1,0,150000
Westlands,Runda,,1,1,1,0,1,1,1,1,1,0,75000
Westlands,Rhapta Road,,3,3,1,0,1,1,1,1,1,0,150000
Westlands,Riverside,Building Area 220 m²,3,4,1,0,1,1,1,1,1,0,180000
Westlands,Loresho,Building Area 200 m²,3,3,0,0,1,0,1,1,1,0,80000
Westlands,Westlands Area,,1,1,1,1,1,1,1,1,0,0,150000
Westlands,Rhapta Road,,3,3,0,0,0,1,1,1,1,0,140000
Nairobi,Uthiru,Building Area 85 m²,2,2,0,0,1,0,1,1,1,0,38000
Nairobi,Kilimani,,2,,0,0,0,0,0,1,0,0,70000
Nairobi,Thika Road,Building Area 63 m²,1,2,1,0,0,1,1,1,1,0,70000
Westlands,Lower Kabete,,2,,0,1,0,1,1,0,0,0,280000
Westlands,Riverside,,3,3,1,0,0,0,1,1,1,0,150000
Westlands,Riverside,,4,5,1,0,1,1,1,1,1,0,140000
Nyali,Nyali Area,Building Area 180 m²,3,3,1,0,1,0,0,1,1,0,120000
Nairobi,Kileleshwa,,3,4,0,0,1,0,1,1,1,0,110000
Westlands,Westlands Area,,1,,0,0,1,1,0,1,0,0,100000
Westlands,Riverside,,3,4,1,0,1,1,0,1,1,0,130000
Nairobi,Ngong Road,,1,1,1,0,0,0,0,1,1,0,45000
Westlands,Westlands Area,,3,3,1,0,1,1,1,1,1,0,200000
Westlands,Westlands Area,,2,2,0,0,0,1,0,1,0,0,1700
Nairobi,Kilimani,,3,3,0,0,0,0,1,1,1,0,170000
Nairobi,Kilimani,,0,1,0,1,0,1,0,1,0,0,90000
Nyali,Nyali Area,,4,4,1,0,1,1,1,1,1,0,250000
Westlands,Westlands Area,Building Area 250 m²,3,3,1,0,1,1,1,1,1,0,300000
Nairobi,Kileleshwa,Building Area 90 m²,2,2,1,0,1,1,1,1,1,0,80000
Nairobi,Kileleshwa,Building Area 295 m²,3,4,1,0,1,1,1,1,1,0,150000
Nairobi,Kilimani,Building Area 160 m²,3,4,1,1,1,1,1,1,1,0,280000
Westlands,Nyari,,2,2,1,1,1,1,1,1,1,0,290000
Nairobi,Thika Road,,2,2,1,0,0,1,1,0,0,0,85000
Nairobi,Naivasha Road,,1,1,1,0,1,0,0,1,0,0,40000
Nairobi,Lavington,Building Area 210 m²,3,4,1,0,1,1,1,1,1,0,120000
Westlands,Brookside,,2,3,1,1,0,1,1,1,1,0,222000
Ruiru,Tatu City,Building Area 75 m²,2,2,0,0,1,1,1,1,1,0,40000
Westlands,Westlands Area,Building Area 180 m²,2,2,1,0,1,1,1,1,1,0,100000
Westlands,Rhapta Road,Building Area 110 m²,1,1,1,1,1,1,1,1,1,0,150000
Westlands,Westlands Area,,3,,0,0,0,0,0,0,0,0,90000
Westlands,General Mathenge,,2,3,1,1,1,1,1,1,1,0,250000
Westlands,General Mathenge,,3,3,1,0,1,1,1,1,1,0,270000
Kiambu County,Ruaka,Building Area 1012 m²,1,1,,,,,,,,,27000
Nairobi,Madaraka,,3,,0,0,0,0,0,0,0,0,60000
Westlands,Riverside,,4,5,1,0,0,0,1,0,1,0,453000
Westlands,Riverside,,2,2,0,0,0,0,1,1,1,0,170000
Nairobi,Kilimani,,4,3,0,1,1,0,0,1,1,0,150000
Westlands,Kitisuru,Land Area 40444 m²,2,3,1,1,1,1,1,1,1,0,170000
Kiambu County,Ruaka,,2,2,1,0,1,0,1,1,1,0,40000
Nyali,Nyali Area,Building Area 189 m²,2,3,0,1,0,0,1,1,1,0,150000
Nairobi,Kileleshwa,,2,2,0,0,0,0,1,1,1,0,55000
Nairobi,Kilimani,Building Area 2200 ft²,3,3,1,1,1,1,1,1,1,0,195000
Nairobi,Kileleshwa,,3,3,1,1,1,1,1,1,1,0,130000
Nairobi,Kilimani,,2,2,0,0,0,0,0,0,0,0,150000
Westlands,General Mathenge,,3,3,1,0,0,1,0,1,1,0,150000
Westlands,Spring Valley,Building Area 300 m²,4,5,1,0,1,1,1,1,1,0,400000
Westlands,Westlands Area,Building Area 150 m²,2,2,1,1,1,1,1,1,1,0,230000
Nairobi,Kileleshwa,,5,5,1,0,0,0,0,1,1,0,150000
Nairobi,Riara Road,,4,4,1,0,1,1,1,1,1,0,120000
Nyali,Nyali Area,,3,3,1,0,1,0,1,1,1,0,80000
Westlands,Westlands Area,,2,,0,0,0,0,0,0,1,0,150000
Westlands,Westlands Area,,1,1,1,0,0,1,1,0,0,0,125000
Nairobi,Kileleshwa,,4,2,1,0,1,1,1,1,1,0,90000
Nairobi,Riara Road,,3,3,1,1,0,1,1,1,1,0,180000
Nairobi,Thika Road,Building Area 185 m²,3,3,0,1,0,0,0,0,0,0,220000
Nairobi,Lavington,,1,1,1,1,1,0,1,1,1,0,150000
Nairobi,Kileleshwa,,3,3,0,0,1,0,1,1,1,0,75000
Nairobi,Kileleshwa,,4,5,1,0,1,1,1,1,1,0,300000
Nairobi,Kileleshwa,,4,4,1,0,0,1,1,1,1,0,145000
Nairobi,Lavington,,7,7,1,0,1,0,1,1,1,0,300000
Westlands,Westlands Area,,2,2,1,1,0,1,1,1,1,0,110000
Kiambu County,Thindigua,Building Area 1100 ft²,3,2,0,0,0,0,0,0,0,0,50000
Nairobi,Thika Road,,3,2,1,0,0,1,1,0,0,0,104000
Westlands,Riverside,,3,,1,0,1,0,1,0,1,0,190000
Westlands,Riverside,Building Area 160 m²,3,4,1,0,1,1,1,1,1,0,160000
Westlands,Nyari,Building Area 80 m²,1,1,1,1,1,0,0,1,0,0,120000
Mombasa,Shanzu,,2,4,1,1,1,1,1,1,1,0,15000
Westlands,Kitisuru,Building Area 130 m²,2,2,1,1,1,1,1,1,1,0,230000
Westlands,Riverside,,4,4,1,0,1,0,1,1,1,0,not
Nairobi,Kileleshwa,,1,1,1,0,0,1,1,1,0,0,72000
Nairobi,Kilimani,Building Area 300 m²,3,3,1,0,1,1,1,1,1,0,120000
Nairobi,Kiambu Road,Building Area 73 m²,2,2,0,0,1,0,1,1,1,0,56600
Nairobi,Lavington,,2,2,1,0,0,0,1,1,1,0,65000
Nairobi,Kilimani,,2,2,1,0,0,0,0,1,1,0,100000
Nairobi,Kileleshwa,,3,4,1,0,0,1,0,1,0,0,240000
Nairobi,Kileleshwa,Building Area 200 m²,3,4,1,1,1,1,1,1,1,0,200000
Nairobi,Kileleshwa,,4,3,1,0,0,1,0,0,0,0,160000
Nairobi,Lavington,,3,3,1,0,1,0,1,1,1,0,145000
Nairobi,Kilimani,,2,3,1,1,1,1,1,1,1,0,140000
Nairobi,Lavington,,3,2,0,0,0,1,1,1,1,0,100000
Nairobi,Kileleshwa,,2,2,0,0,0,0,1,1,1,0,85000
Westlands,Rhapta Road,Building Area 220 m²,3,4,1,0,1,1,1,1,1,0,140000
Nairobi,Kileleshwa,,3,2,1,0,1,1,1,1,1,0,85000
Machakos County,Athi River,Building Area 90 m²,2,2,0,0,0,0,0,0,0,0,23000
Westlands,Parklands,Building Area 1500 ft²,2,2,0,0,1,0,1,1,1,0,58000
Westlands,Westlands Area,,3,2,1,0,0,1,0,1,1,0,120000
Kiambu County,Ruaka,,2,2,0,0,1,0,1,1,1,0,35000
Westlands,Westlands Area,,2,2,0,0,1,1,1,1,1,0,115000
Nairobi,Lavington,,3,,1,0,0,1,0,1,0,0,120000
Westlands,Westlands Area,,3,3,1,0,0,0,1,1,0,0,130000
Nyali,Kongowea,,3,3,1,1,1,0,1,1,1,0,110000
